Gender,EngagingMethod,MotivationDuringTL,HandsOnActivityHelp,TLPerformance,GroupDiscussion,MultimediaEffectiveness,TeacherInteraction,IMEncourageness,PeerLearning,Retention,ELinRealWorld,PreferMedia,ChallengesTL,Suggestions,AgeGroup,Score,Dropdown
Male,Experiential methods,Rarely,Strongly agree,No,Very effective,Good,Rarely,Strongly agree,Strongly agree,Experiential methods,Very effective,Agree,Lack of engagement,,Above 34,,
Male,Experiential methods,Sometimes,Strongly agree,No,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,25–34,0.0,
Female,Interactive methods,Rarely,Strongly agree,Not sure,Very effective,Excellent,Sometimes,Neutral,Yes,Experiential methods,Effective,Neutral,One-way communication,,18–24,0.0,
Male,Traditional lectures,Often,Agree,Yes,Neutral,Excellent,Often,Neutral,Yes,Traditional lectures,Neutral,Strongly agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Often,Agree,Yes,Neutral,Good,Sometimes,Agree,No,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,25–34,0.0,
Female,Interactive methods,Often,Agree,Yes,Very effective,Excellent,Sometimes,Agree,Yes,Interactive methods,Very effective,Strongly agree,No hands-on learning opportunities,,25–34,0.0,
Male,Traditional lectures,Always,Strongly agree,Yes,Effective,Excellent,Always,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,One-way communication,,25–34,0.0,
Male,Traditional lectures,Always,Agree,Yes,Very effective,Good,Always,Agree,Yes,Traditional lectures,Effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Sometimes,Strongly agree,Yes,Effective,Good,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Male,Traditional lectures,Often,Agree,Yes,Neutral,Excellent,Always,Strongly agree,Sometimes,Traditional lectures,Neutral,Neutral,One-way communication,,18–24,0.0,
Male,Interactive methods,Often,Agree,Yes,Neutral,Good,Often,Neutral,Yes,Interactive methods,Neutral,Agree,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Sometimes,Agree,Not sure,Effective,Excellent,Rarely,Agree,Yes,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Interactive methods,Sometimes,Agree,Not sure,Neutral,Average,Rarely,Neutral,No,Experiential methods,Effective,Disagree,No hands-on learning opportunities,,18–24,0.0,
Female,Experiential methods,Often,Agree,Yes,Effective,Good,Always,Agree,Sometimes,Experiential methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Rarely,Strongly agree,No,Very effective,Average,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Neutral,Lack of engagement,,18–24,0.0,
Male,Interactive methods,Sometimes,Strongly agree,No,Effective,Good,Rarely,Strongly agree,Yes,Interactive methods,Very effective,Strongly agree,One-way communication,,18–24,0.0,
Female,Interactive methods,Sometimes,Neutral,Not sure,Neutral,Good,Rarely,Neutral,Yes,Interactive methods,Neutral,Agree,One-way communication,,18–24,0.0,
Female,Interactive methods,Sometimes,Strongly agree,No,Very effective,Excellent,Rarely,Agree,Strongly agree,Interactive methods,Effective,Strongly agree,One-way communication,,25–34,0.0,
Female,Experiential methods,Rarely,Strongly agree,Not sure,Very effective,Excellent,Sometimes,Agree,Yes,Interactive methods,Effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,Yes,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Neutral,Neutral,No hands-on learning opportunities,,18–24,0.0,
Female,Interactive methods,Often,Strongly agree,Yes,Effective,Excellent,Often,Agree,Strongly agree,Experiential methods,Very effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Sometimes,Agree,Not sure,Very effective,Excellent,Often,Agree,Strongly agree,Experiential methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Often,Strongly agree,No,Neutral,Excellent,Often,Neutral,No,Experiential methods,Very effective,Neutral,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,Not sure,Very effective,Good,Sometimes,Agree,Sometimes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Interactive methods,Rarely,Agree,Not sure,Effective,Good,Often,Agree,Yes,Experiential methods,Very effective,Disagree,Lack of engagement,,18–24,0.0,
Female,Interactive methods,Always,Agree,Yes,Very effective,Excellent,Always,Agree,Sometimes,Traditional lectures,Effective,Agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Often,Strongly agree,Not sure,Effective,Good,Sometimes,Agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Traditional lectures,Always,Agree,Not sure,Effective,Excellent,Often,Neutral,Yes,Experiential methods,Effective,Agree,Lack of engagement,,25–34,0.0,
Female,Traditional lectures,Often,Strongly agree,Yes,Effective,Excellent,Rarely,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Sometimes,Agree,Not sure,Effective,Good,Often,Neutral,Yes,Experiential methods,Very effective,Neutral,One-way communication,,18–24,0.0,
Female,Experiential methods,Often,Strongly agree,Yes,Very effective,Good,Rarely,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Male,Traditional lectures,Always,Strongly agree,Yes,Neutral,Average,Sometimes,Neutral,Strongly agree,Interactive methods,Neutral,Disagree,Lack of engagement,,18–24,0.0,
Female,Interactive methods,Often,Agree,Yes,Effective,Good,Often,Strongly agree,Strongly agree,Experiential methods,Very effective,Agree,One-way communication,,18–24,0.0,
Male,Traditional lectures,Often,Agree,Yes,Effective,Excellent,Always,Agree,Strongly agree,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Male,Traditional lectures,Sometimes,Strongly agree,Yes,Effective,Good,Often,Strongly agree,Strongly agree,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Interactive methods,Sometimes,Agree,Yes,Very effective,Average,Sometimes,Strongly agree,Yes,Traditional lectures,Effective,Agree,Lack of engagement,,Above 34,0.0,
Male,Interactive methods,Sometimes,Strongly agree,Not sure,Very effective,Excellent,Often,Strongly agree,Strongly agree,Experiential methods,Effective,Strongly agree,One-way communication,,Above 34,0.0,
Male,Experiential methods,Often,Agree,No,Effective,Good,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Rarely,Strongly agree,No,Very effective,Excellent,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,Not sure,Very effective,Average,Often,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Often,Agree,Yes,Effective,Excellent,Rarely,Agree,Yes,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Interactive methods,Often,Agree,Yes,Neutral,Excellent,Sometimes,Strongly agree,Sometimes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Male,Traditional lectures,Always,Strongly agree,Yes,Very effective,Excellent,Always,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Female,Interactive methods,Sometimes,Agree,Yes,Very effective,Excellent,Rarely,Agree,Strongly agree,Interactive methods,Effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Sometimes,Agree,No,Very effective,Good,Rarely,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Male,Interactive methods,Sometimes,Agree,Yes,Very effective,Excellent,Often,Strongly agree,Yes,Interactive methods,Effective,Strongly agree,One-way communication,,Above 34,0.0,
Female,Experiential methods,Sometimes,Agree,No,Ineffective,Average,Sometimes,Disagree,No,Experiential methods,Neutral,Neutral,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Rarely,Strongly agree,No,Effective,Average,Often,Strongly agree,Yes,Experiential methods,Effective,Neutral,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Rarely,Strongly agree,No,Effective,Excellent,Always,Neutral,Strongly agree,Experiential methods,Effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Sometimes,Agree,Not sure,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Traditional lectures,Often,Agree,Yes,Effective,Good,Often,Agree,Yes,Experiential methods,Effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Traditional lectures,Rarely,Agree,Not sure,Effective,Good,Sometimes,Agree,Yes,Interactive methods,Effective,Strongly agree,One-way communication,,18–24,0.0,
Female,Experiential methods,Sometimes,Neutral,Not sure,Very effective,Excellent,Rarely,Neutral,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
